t,Ek,Ep,Ec
0.165,2.1177e-10,7.33436e-09,7.54613e-09
0.166,2.14321e-10,7.33191e-09,7.54623e-09
0.167,2.16887e-10,7.32944e-09,7.54633e-09
0.168,2.19468e-10,7.32697e-09,7.54643e-09
0.169,2.22063e-10,7.32447e-09,7.54654e-09
0.17,2.24674e-10,7.32197e-09,7.54664e-09
0.171,2.27299e-10,7.31945e-09,7.54675e-09
0.172,2.29939e-10,7.31691e-09,7.54685e-09
0.173,2.32594e-10,7.31437e-09,7.54696e-09
0.174,2.35263e-10,7.3118e-09,7.54707e-09
0.175,2.37948e-10,7.30923e-09,7.54717e-09
0.176,2.40647e-10,7.30664e-09,7.54728e-09
0.177,2.43361e-10,7.30403e-09,7.54739e-09
0.178,2.46089e-10,7.30141e-09,7.5475e-09
0.179,2.48833e-10,7.29878e-09,7.54761e-09
0.18,2.5159e-10,7.29613e-09,7.54772e-09
0.181,2.54363e-10,7.29347e-09,7.54783e-09
0.182,2.57151e-10,7.29079e-09,7.54794e-09
0.183,2.59953e-10,7.2881e-09,7.54806e-09
0.184,2.62769e-10,7.2854e-09,7.54817e-09
0.185,2.65601e-10,7.28268e-09,7.54828e-09
0.186,2.68447e-10,7.27995e-09,7.5484e-09
0.187,2.71307e-10,7.2772e-09,7.54851e-09
0.188,2.74182e-10,7.27444e-09,7.54863e-09
0.189,2.77072e-10,7.27167e-09,7.54874e-09
0.19,2.79977e-10,7.26888e-09,7.54886e-09
0.191,2.82896e-10,7.26608e-09,7.54897e-09
0.192,2.85829e-10,7.26326e-09,7.54909e-09
0.193,2.88777e-10,7.26043e-09,7.54921e-09
0.194,2.9174e-10,7.25759e-09,7.54933e-09
0.195,2.94717e-10,7.25473e-09,7.54945e-09
0.196,2.97709e-10,7.25186e-09,7.54957e-09
0.197,3.00715e-10,7.24897e-09,7.54969e-09
0.198,3.03736e-10,7.24607e-09,7.54981e-09
0.199,3.06771e-10,7.24316e-09,7.54993e-09
0.2,3.09821e-10,7.24023e-09,7.55005e-09
0.201,3.12885e-10,7.23729e-09,7.55018e-09
0.202,3.15964e-10,7.23433e-09,7.5503e-09
0.203,3.19057e-10,7.23137e-09,7.55042e-09
0.204,3.22165e-10,7.22838e-09,7.55055e-09
0.205,3.25286e-10,7.22539e-09,7.55067e-09
0.206,3.28423e-10,7.22237e-09,7.5508e-09
0.207,3.31573e-10,7.21935e-09,7.55092e-09
0.208,3.34739e-10,7.21631e-09,7.55105e-09
0.209,3.37918e-10,7.21326e-09,7.55118e-09
0.21,3.41112e-10,7.21019e-09,7.55131e-09
0.211,3.4432e-10,7.20711e-09,7.55143e-09
0.212,3.47542e-10,7.20402e-09,7.55156e-09
0.213,3.50779e-10,7.20091e-09,7.55169e-09
0.214,3.5403e-10,7.19779e-09,7.55182e-09
0.215,3.57296e-10,7.19466e-09,7.55195e-09
0.216,3.60575e-10,7.19151e-09,7.55209e-09
0.217,3.63869e-10,7.18835e-09,7.55222e-09
0.218,3.67177e-10,7.18517e-09,7.55235e-09
0.219,3.705e-10,7.18198e-09,7.55248e-09
0.22,3.73836e-10,7.17878e-09,7.55262e-09
0.221,3.77187e-10,7.17556e-09,7.55275e-09
0.222,3.80552e-10,7.17233e-09,7.55289e-09
0.223,3.83931e-10,7.16909e-09,7.55302e-09
0.224,3.87325e-10,7.16583e-09,7.55316e-09
0.225,3.90732e-10,7.16256e-09,7.55329e-09
0.226,3.94154e-10,7.15928e-09,7.55343e-09
0.227,3.9759e-10,7.15598e-09,7.55357e-09
0.228,4.0104e-10,7.15267e-09,7.55371e-09
0.229,4.04504e-10,7.14934e-09,7.55385e-09
0.23,4.07982e-10,7.146e-09,7.55399e-09
0.231,4.11474e-10,7.14265e-09,7.55413e-09
0.232,4.1498e-10,7.13929e-09,7.55427e-09
0.233,4.185e-10,7.13591e-09,7.55441e-09
0.234,4.22034e-10,7.13251e-09,7.55455e-09
